"","hap","FKe","FBo","GBu","GHe","GKi","GWi","JLi","JMa","SBa","SSk"
"1","1","1","","","","","","","","",""
"2","2","2","","","","","","","","",""
"3","3","6","2","1","5","3","8","4","4","4","2"
"4","4","","","","","1","","","","",""
"5","5","","","","","","","1","","",""
"6","6","1","","","","","","","1","","1"
"7","7","1","","","","","","","","",""
"8","8","","","","1","","","","","",""
"9","9","","","","","","","2","","2",""
"10","10","","","","","","","","","","1"
"11","11","","","","","","","1","","",""
"12","12","","","","","","","","","","1"
"13","13","","1","","","","","","","",""
"14","14","","","","","1","","","","",""
"15","15","","","","","","","1","","",""
"16","16","","","","","","","1","","",""
"17","Total","11","3","1","6","5","8","10","5","6","5"
