"","hap","CWA","GKi","NWA","NEA","M","CS","FKe","JMa","SSk","B","FBo","GBu","GHe","GWi","JLi","SBa"
"1","1","3","1","1","","","","","","","","","","","","",""
"2","2","","","","1","","","","","","","","","","","",""
"3","3","","","","1","","","","","","","","","","","",""
"4","4","","","","","1","","","","","","","","","","",""
"5","5","","","","","1","","","","","","","","","","",""
"6","6","","","","","1","","","","","","","","","","",""
"7","7","","","","","1","","","","","","","","","","",""
"8","8","","","","","1","","","","","","","","","","",""
"9","9","","","","","1","","","","","","","","","","",""
"10","10","2","","","","","5","1","1","1","","","","","","",""
"11","11","","","","","","1","","","","","","","","","",""
"12","12","","","","","","1","","","","","","","","","",""
"13","13","","","","","","2","","","","","","","","","",""
"14","14","","","","","","1","","","","","","","","","",""
"15","15","","","","","","1","","","","","","","","","",""
"16","16","2","","","","","1","","","","","","","","","",""
"17","17","","","","","","2","","","","","","","","","",""
"18","18","","","","","","1","","","","","","","","","",""
"19","19","2","1","","","","1","","","","","","","","","",""
"20","20","","","","","","1","","","","","","","","","",""
"21","21","","","","","","1","","","","","","","","","",""
"22","22","","","","","1","","","","","","","","","","",""
"23","23","","","","","3","","","","","","","","","","",""
"24","24","","","","","1","","","","","","","","","","",""
"25","25","1","","","","","","","","","","","","","","",""
"26","26","1","","","","","","","","","","","","","","",""
"27","27","1","","","","","","","","","","","","","","",""
"28","28","1","5","1","","","","6","4","2","2","2","1","5","8","4","4"
"29","29","","1","2","","","1","","","","","","","","","",""
"30","30","","","","","","1","","","","","","","","","",""
"31","31","","","1","","","","","","","","","","","","",""
"32","32","","1","1","","","","","","","","","","","","",""
"33","33","","1","","","","","","","","","","","","","",""
"34","34","","","","","","","","","","","","","1","","",""
"35","35","","","","","","","","","","","","","1","","",""
"36","36","","","","","","","","","","","","","1","","",""
"37","37","","","","","","","","","","","","","1","","",""
"38","38","","","","","","","","","","1","","","","","",""
"39","39","","","","","","","","","","1","","","","","",""
"40","40","","","1","","","","","","","","","","","","",""
"41","41","","","1","","","","","","","","","","","","",""
"42","42","","","","1","","","","","","","","","","","",""
"43","43","","","","1","","","","","","","","","","","",""
"44","44","","","","1","","","","","","","","","","","",""
"45","45","","","","","","","1","","","","","","","","",""
"46","46","","","","","","","2","","","","","","","","",""
"47","47","","1","","","","","","","","","","","","","",""
"48","48","","","","","","","","","","","","","","","1",""
"49","49","","","","","","","1","","","","","","","","",""
"50","50","","","","","","","","","","","","","1","","",""
"51","51","","","","","","","","","","","","","","","2","2"
"52","52","","","","","","","","","1","","","","","","",""
"53","53","","","","","","","","","","","","","","","1",""
"54","54","","","","","","","","","1","","","","","","",""
"55","55","","","","","","","","","","","1","","","","",""
"56","56","","","","","","","","","","","","","","","1",""
"57","57","","","","","","","","","","","","","","","1",""
"58","Total","13","11","8","5","11","20","11","5","5","4","3","1","10","8","10","6"
