"","col2","smpl_loc"
"BalticSea","#00A1A1","BalticSea"
"CaspianSea","#B2B2B2","CaspianSea"
"CentralWAtlantic","#CCCCCC","CentralWAtlantic"
"Funen, Bogense,","#000000","Funen, Bogense,"
"Funen, Kerteminde","#6A15A0","Funen, Kerteminde"
"Germany, Büsum","#DDEE10","Germany, Büsum"
"Germany:Maasholm","#00EEEE","Germany:Maasholm"
"Jutland, Limfjord","#33EE10","Jutland, Limfjord"
"Jutland, Mariager Fjord","#6A15F5","Jutland, Mariager Fjord"
"Mecklenburger","#00A955","Mecklenburger"
"Mediterranean","#666666","Mediterranean"
"NEAtlantic","#909090","NEAtlantic"
"NWGermanyNSeaHelgolandRds","#00CDCD","NWGermanyNSeaHelgolandRds"
"Samsøe, Ballen","#FFFF55","Samsøe, Ballen"
"Sealand, Skovshoved","#FFFFFF","Sealand, Skovshoved"
"USA:WoodsHole","#44EEEE","USA:WoodsHole"
